"Story","Title","Result","Date","Stability","Duration (s)"
"User login","Successful login with valid credentials","SUCCESS","2026-06-10T07:36:45.1371632-05:00[America/Bogota]","0.0","6.97"
"User login","Failed login due to incorrect credentials","FAILURE","2026-06-10T07:37:05.3551277-05:00[America/Bogota]","0.0","0.25"
"User login","Failed login due to empty fields","FAILURE","2026-06-10T07:37:16.4548287-05:00[America/Bogota]","0.0","0.27"
"User login","Failed login due to unregistered user","FAILURE","2026-06-10T07:37:24.2109176-05:00[America/Bogota]","0.0","0.25"
"Register user","Successful user registration","ERROR","2026-06-10T07:37:35.6672977-05:00[America/Bogota]","0.0","3.39"
"Register user","Failed registration due to already registered email","FAILURE","2026-06-10T07:38:01.4006802-05:00[America/Bogota]","0.0","0.27"
"Register user","Failed registration due to invalid password","SUCCESS","2026-06-10T07:38:13.4092071-05:00[America/Bogota]","0.0","0.28"
"Register user","Failed registration due to empty fields","SUCCESS","2026-06-10T07:39:15.7815656-05:00[America/Bogota]","0.0","0.25"
"Register expense","Successful expense registration with valid data","SUCCESS","2026-06-10T07:39:25.9520307-05:00[America/Bogota]","0.0","10.84"
"Register expense","Failed expense registration due to empty amount","SUCCESS","2026-06-10T07:39:57.1193242-05:00[America/Bogota]","0.0","2.43"
"Register expense","Failed expense registration due to no category selected","SUCCESS","2026-06-10T07:40:12.931669-05:00[America/Bogota]","0.0","2.4"
"Register income","Successful income registration with valid data","SUCCESS","2026-06-10T07:50:53.6818655-05:00[America/Bogota]","0.0","11.41"
"Register income","Failed income registration due to empty amount","SUCCESS","2026-06-10T07:51:27.9112183-05:00[America/Bogota]","0.0","2.42"
"Register income","Failed income registration due to no category selected","SUCCESS","2026-06-10T07:51:46.1055712-05:00[America/Bogota]","0.0","2.3"
"View transaction history","Successful history query with transactions","SUCCESS","2026-06-10T07:41:27.0545212-05:00[America/Bogota]","0.0","6.26"
